,,,,,,,Daily Price Arrival Report-07-11-2025 to 21-08-2026 for Maharashtra,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,700.00","2,800.00","2,750.00",Rs./Quintal,19.80,Metric Tonnes,06-08-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,11.00,Metric Tonnes,06-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,100.00","2,350.00","2,225.00",Rs./Quintal,41.00,Metric Tonnes,06-04-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,500.00","2,900.00","2,725.00",Rs./Quintal,16.00,Metric Tonnes,06-02-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,56.80,Metric Tonnes,05-08-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,450.00","2,450.00","2,450.00",Rs./Quintal,0.50,Metric Tonnes,05-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,350.00","2,275.00",Rs./Quintal,32.00,Metric Tonnes,05-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,600.00","2,750.00","2,675.00",Rs./Quintal,8.20,Metric Tonnes,05-01-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,650.00","2,650.00","2,650.00",Rs./Quintal,39.60,Metric Tonnes,04-08-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,37.00,Metric Tonnes,04-05-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,25.60,Metric Tonnes,04-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,600.00","2,700.00","2,650.00",Rs./Quintal,18.40,Metric Tonnes,03-12-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,550.00","2,550.00","2,550.00",Rs./Quintal,20.20,Metric Tonnes,03-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,100.00","2,400.00","2,250.00",Rs./Quintal,46.00,Metric Tonnes,03-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,100.00","2,300.00","2,200.00",Rs./Quintal,44.60,Metric Tonnes,03-04-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,48.80,Metric Tonnes,03-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,550.00","2,550.00","2,550.00",Rs./Quintal,15.40,Metric Tonnes,02-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,100.00","2,400.00","2,250.00",Rs./Quintal,59.20,Metric Tonnes,02-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,39.80,Metric Tonnes,02-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,24.40,Metric Tonnes,01-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,100.00","2,300.00","2,200.00",Rs./Quintal,41.20,Metric Tonnes,01-04-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,300.00","2,500.00","2,400.00",Rs./Quintal,0.30,Metric Tonnes,31-07-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,FAQ,"2,450.00","2,750.00","2,600.00",Rs./Quintal,2.20,Metric Tonnes,31-01-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,0.70,Metric Tonnes,31-01-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,FAQ,"2,450.00","2,650.00","2,550.00",Rs./Quintal,0.20,Metric Tonnes,30-12-2025
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,300.00","2,500.00","2,400.00",Rs./Quintal,0.40,Metric Tonnes,30-07-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,500.00","2,350.00",Rs./Quintal,2.30,Metric Tonnes,30-06-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,300.00","2,500.00","2,400.00",Rs./Quintal,4.00,Metric Tonnes,30-05-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,5.60,Metric Tonnes,30-04-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,FAQ,"2,500.00","2,900.00","2,700.00",Rs./Quintal,0.90,Metric Tonnes,30-01-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,0.30,Metric Tonnes,30-01-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,FAQ,"2,500.00","2,800.00","2,650.00",Rs./Quintal,0.60,Metric Tonnes,29-12-2025
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,0.20,Metric Tonnes,29-12-2025
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,500.00","2,350.00",Rs./Quintal,1.60,Metric Tonnes,29-06-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,300.00","2,500.00","2,400.00",Rs./Quintal,13.90,Metric Tonnes,29-05-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,FAQ,"2,600.00","2,650.00","2,625.00",Rs./Quintal,2.90,Metric Tonnes,28-07-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,500.00","2,350.00",Rs./Quintal,1.50,Metric Tonnes,28-07-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,300.00","2,500.00","2,400.00",Rs./Quintal,13.80,Metric Tonnes,28-05-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,14.20,Metric Tonnes,28-04-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,FAQ,"2,500.00","2,800.00","2,650.00",Rs./Quintal,2.30,Metric Tonnes,27-12-2025
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,0.30,Metric Tonnes,27-12-2025
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,FAQ,"2,450.00","2,600.00","2,525.00",Rs./Quintal,0.70,Metric Tonnes,27-11-2025
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,0.20,Metric Tonnes,27-11-2025
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,300.00","2,500.00","2,400.00",Rs./Quintal,1.20,Metric Tonnes,27-07-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,11.90,Metric Tonnes,27-06-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,3.00,Metric Tonnes,27-04-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,FAQ,"2,600.00","2,650.00","2,625.00",Rs./Quintal,0.40,Metric Tonnes,27-03-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,9.20,Metric Tonnes,27-03-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,7.50,Metric Tonnes,27-02-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,FAQ,"2,500.00","2,700.00","2,600.00",Rs./Quintal,2.50,Metric Tonnes,27-01-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,0.60,Metric Tonnes,27-01-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,FAQ,"2,600.00","3,000.00","2,800.00",Rs./Quintal,0.80,Metric Tonnes,26-12-2025
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,1.30,Metric Tonnes,26-12-2025
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Wheat,Other,Non-FAQ,"2,300.00","2,500.00","2,400.00",Rs./Quintal,6.30,Metric Tonnes,26-05-2026
