,,,,,,,Daily Price Arrival Report-07-11-2025 to 21-08-2026 for Maharashtra,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,100.00","3,500.00","2,800.00",Rs./Quintal,30.60,Metric Tonnes,11-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,24.20,Metric Tonnes,11-02-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,500.00","2,750.00",Rs./Quintal,12.80,Metric Tonnes,10-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,300.00","2,650.00",Rs./Quintal,50.40,Metric Tonnes,10-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,23.40,Metric Tonnes,09-12-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,600.00","2,800.00",Rs./Quintal,4.40,Metric Tonnes,09-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,100.00","3,500.00","2,800.00",Rs./Quintal,24.00,Metric Tonnes,09-04-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,29.00,Metric Tonnes,09-01-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,400.00","2,700.00",Rs./Quintal,2.20,Metric Tonnes,08-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"1,900.00","3,800.00","2,850.00",Rs./Quintal,5.20,Metric Tonnes,08-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,200.00","3,000.00","2,600.00",Rs./Quintal,30.20,Metric Tonnes,08-04-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,500.00","2,750.00",Rs./Quintal,13.20,Metric Tonnes,07-08-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,200.00","3,200.00","2,700.00",Rs./Quintal,22.20,Metric Tonnes,07-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,100.00","3,590.00","2,845.00",Rs./Quintal,11.60,Metric Tonnes,07-04-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,18.30,Metric Tonnes,07-02-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,100.00","3,500.00","2,800.00",Rs./Quintal,26.40,Metric Tonnes,06-08-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,500.00","3,000.00","2,750.00",Rs./Quintal,1.20,Metric Tonnes,06-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,600.00","2,800.00",Rs./Quintal,49.40,Metric Tonnes,06-04-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,200.00","3,500.00","2,850.00",Rs./Quintal,29.00,Metric Tonnes,06-02-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,500.00","3,500.00","3,000.00",Rs./Quintal,13.80,Metric Tonnes,05-08-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,100.00","3,300.00","2,700.00",Rs./Quintal,14.50,Metric Tonnes,05-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,100.00","3,000.00","2,550.00",Rs./Quintal,38.20,Metric Tonnes,05-01-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,100.00","3,400.00","2,750.00",Rs./Quintal,22.20,Metric Tonnes,04-08-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,FAQ,"4,000.00","5,000.00","4,500.00",Rs./Quintal,13.60,Metric Tonnes,04-05-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,500.00","2,750.00",Rs./Quintal,11.60,Metric Tonnes,04-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,300.00","2,650.00",Rs./Quintal,31.60,Metric Tonnes,03-12-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,500.00","3,000.00","2,750.00",Rs./Quintal,2.40,Metric Tonnes,03-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,200.00","3,000.00","2,600.00",Rs./Quintal,7.20,Metric Tonnes,03-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,600.00","2,800.00",Rs./Quintal,29.40,Metric Tonnes,03-04-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,500.00","2,750.00",Rs./Quintal,40.00,Metric Tonnes,03-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,200.00","3,000.00","2,600.00",Rs./Quintal,6.80,Metric Tonnes,02-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,200.00","3,500.00","2,850.00",Rs./Quintal,6.60,Metric Tonnes,02-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,050.00","3,000.00","2,525.00",Rs./Quintal,20.40,Metric Tonnes,02-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,425.00","2,425.00","2,425.00",Rs./Quintal,0.50,Metric Tonnes,01-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,200.00","3,500.00","2,850.00",Rs./Quintal,16.60,Metric Tonnes,01-04-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,FAQ,"3,750.00","5,250.00","4,500.00",Rs./Quintal,10.00,Metric Tonnes,31-07-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,Non-FAQ,"3,000.00","3,700.00","3,350.00",Rs./Quintal,0.60,Metric Tonnes,31-07-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,FAQ,"3,750.00","5,400.00","4,575.00",Rs./Quintal,8.60,Metric Tonnes,31-01-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,Non-FAQ,"2,700.00","3,700.00","3,400.00",Rs./Quintal,1.40,Metric Tonnes,31-01-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,FAQ,"3,750.00","4,800.00","4,275.00",Rs./Quintal,2.00,Metric Tonnes,30-12-2025
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,Non-FAQ,"3,100.00","3,700.00","3,400.00",Rs./Quintal,3.00,Metric Tonnes,30-12-2025
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,FAQ,"3,800.00","5,500.00","4,650.00",Rs./Quintal,23.00,Metric Tonnes,30-07-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,Non-FAQ,"3,100.00","3,700.00","3,400.00",Rs./Quintal,0.90,Metric Tonnes,30-07-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,FAQ,"3,750.00","5,350.00","4,550.00",Rs./Quintal,18.50,Metric Tonnes,30-06-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,Non-FAQ,"3,000.00","3,700.00","3,350.00",Rs./Quintal,1.00,Metric Tonnes,30-06-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,FAQ,"3,750.00","5,500.00","4,625.00",Rs./Quintal,32.50,Metric Tonnes,30-05-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,Non-FAQ,"3,100.00","3,700.00","3,400.00",Rs./Quintal,4.20,Metric Tonnes,30-05-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,FAQ,"3,750.00","5,200.00","4,475.00",Rs./Quintal,31.40,Metric Tonnes,30-04-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,Non-FAQ,"3,000.00","3,700.00","3,350.00",Rs./Quintal,5.30,Metric Tonnes,30-04-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,FAQ,"3,750.00","5,450.00","4,600.00",Rs./Quintal,14.20,Metric Tonnes,30-01-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,Non-FAQ,"3,100.00","3,700.00","3,400.00",Rs./Quintal,1.00,Metric Tonnes,30-01-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,FAQ,"3,750.00","4,400.00","4,100.00",Rs./Quintal,4.00,Metric Tonnes,29-12-2025
Maharashtra,Ahilyanagar,Jamkhed APMC,Cereals,Jowar(Sorghum),Other,Non-FAQ,"3,000.00","3,700.00","3,350.00",Rs./Quintal,2.50,Metric Tonnes,29-12-2025
